position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Barcelona,38,27,6,5,105,35,+70,87
2,Real Madrid,38,25,3,10,83,52,+31,78
3,Sevilla,38,21,7,10,54,39,+15,70
4,Atlético Madrid,38,20,7,11,80,57,+23,67
5,Villarreal,38,18,11,9,61,54,+7,65
6,Valencia,38,18,8,12,68,54,+14,62
7,Deportivo La Coruña,38,16,10,12,48,47,+1,58
8,Málaga,38,15,10,13,55,59,−4,55
9,Mallorca,38,14,9,15,53,60,−7,51
10,Espanyol,38,12,11,15,46,49,−3,47
11,Almería,38,13,7,18,45,61,−16,46
12,Racing Santander,38,12,10,16,49,48,+1,46
13,Athletic Bilbao,38,12,8,18,47,62,−15,44
14,Sporting Gijón,38,14,1,23,47,79,−32,43
15,Osasuna,38,10,13,15,41,47,−6,43
16,Valladolid,38,12,7,19,46,58,−12,43
17,Getafe,38,10,12,16,50,56,−6,42
18,Betis,38,10,12,16,51,58,−7,42
19,Numancia,38,10,5,23,38,69,−31,35
20,Recreativo,38,8,9,21,34,57,−23,33
