position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Barcelona,34,21,8,5,75,24,+51,50
2,Atlético Madrid,34,16,8,10,50,31,+19,40
3,Zaragoza,34,16,7,11,51,38,+13,39
4,Real Sociedad,34,15,8,11,46,45,+1,38
5,Athletic Bilbao,34,15,7,12,35,31,+4,37
6,Granada,34,12,12,10,34,35,−1,36
7,Málaga,34,12,12,10,31,32,−1,36
8,Real Madrid,34,13,8,13,48,38,+10,34
9,Español,34,13,8,13,34,38,−4,34
10,Valencia,34,13,7,14,41,33,+8,33
11,Las Palmas,34,14,5,15,28,35,−7,33
12,Celta,34,12,6,16,43,49,−6,30
13,Sporting Gijón,34,13,4,17,49,59,−10,30
14,Elche,34,11,7,16,25,33,−8,29
15,Murcia,34,10,9,15,27,37,−10,29
16,Castellón,34,9,11,14,28,46,−18,29
17,Oviedo,34,8,11,15,36,54,−18,27
18,Racing Santander,34,9,6,19,29,52,−23,24
