position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Real Madrid,30,21,5,4,64,18,+46,47
2,Atlético Madrid,30,20,3,7,58,27,+31,43
3,Zaragoza,30,19,2,9,60,37,+23,40
4,Valencia,30,17,4,9,59,37,+22,38
5,Córdoba,30,16,3,11,36,34,+2,35
6,Barcelona,30,14,4,12,59,41,+18,32
7,Atlético Bilbao,30,13,6,11,36,41,−5,32
8,Elche,30,14,3,13,38,43,−5,31
9,Las Palmas,30,11,7,12,36,43,−7,29
10,Sevilla,30,11,4,15,38,50,−12,26
11,Español,30,12,1,17,37,39,−2,25
12,Real Betis,30,8,7,15,33,45,−12,23
13,Murcia,30,5,13,12,28,49,−21,23
14,Levante,30,8,5,17,37,51,−14,21
15,Oviedo,30,7,6,17,22,54,−32,20
16,Deportivo La Coruña,30,6,3,21,18,50,−32,15
