position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Real Sociedad,34,20,7,7,58,33,+25,47
2,Barcelona,34,19,7,8,75,40,+35,45
3,Real Madrid,34,18,8,8,57,34,+23,44
4,Athletic Bilbao,34,18,4,12,63,41,+22,40
5,Valencia,34,17,5,12,54,46,+8,39
6,Real Betis,34,15,6,13,53,44,+9,36
7,Sevilla,34,15,5,14,52,39,+13,35
8,Atlético Madrid,34,15,4,15,38,37,+1,34
9,Valladolid,34,13,8,13,40,53,−13,34
10,Osasuna,34,14,6,14,45,45,0,34
11,Zaragoza,34,13,8,13,45,56,−11,34
12,Racing Santander,34,12,8,14,41,52,−11,32
13,Español,34,13,6,15,48,55,−7,32
14,Sporting Gijón,34,10,9,15,38,44,−6,29
15,Las Palmas,34,11,7,16,41,53,−12,29
16,Cádiz,34,13,3,18,31,47,−16,29
17,Hércules,34,11,5,18,41,52,−11,27
18,Castellón,34,3,6,25,33,82,−49,12
