position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Real Madrid,38,26,10,2,107,38,+69,62
2,Valencia,38,20,13,5,67,42,+25,53
3,Barcelona,38,23,5,10,83,39,+44,51
4,Atlético Madrid,38,20,10,8,55,35,+20,50
5,Real Sociedad,38,15,14,9,43,35,+8,44
6,Sevilla,38,18,7,13,64,46,+18,43
7,Logroñés,38,18,5,15,47,51,−4,41
8,Osasuna,38,14,12,12,42,42,0,40
9,Zaragoza,38,16,8,14,52,52,0,40
10,Mallorca,38,11,17,10,36,34,+2,39
11,Oviedo,38,12,15,11,41,46,−5,39
12,Athletic Bilbao,38,11,15,12,37,39,−2,37
13,Sporting Gijón,38,12,10,16,37,34,+3,34
14,Castellón,38,9,14,15,30,48,−18,32
15,Cádiz,38,12,6,20,28,63,−35,30
16,Valladolid,38,8,14,16,31,41,−10,30
17,Málaga,38,9,10,19,23,50,−27,28
18,Tenerife,38,8,10,20,42,60,−18,26
19,Celta Vigo,38,5,12,21,24,51,−27,22
20,Rayo Vallecano,38,6,7,25,32,75,−43,19
