position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Athletic Bilbao,34,22,6,6,71,36,+35,50
2,Real Madrid,34,20,9,5,57,25,+32,49
3,Atlético Madrid,34,20,6,8,56,38,+18,46
4,Barcelona,34,17,10,7,60,29,+31,44
5,Sevilla,34,15,12,7,44,31,+13,42
6,Zaragoza,34,17,6,11,59,39,+20,40
7,Real Sociedad,34,12,12,10,29,27,+2,36
8,Sporting Gijón,34,9,15,10,31,32,−1,33
9,Español,34,13,6,15,45,47,−2,32
10,Málaga,34,10,10,14,37,48,−11,30
11,Real Betis,34,9,12,13,42,45,−3,30
12,Valladolid,34,9,11,14,34,51,−17,29
13,Salamanca,34,10,8,16,31,48,−17,28
14,Osasuna,34,10,6,18,39,54,−15,26
15,Valencia,34,9,7,18,42,56,−14,25
16,Las Palmas,34,7,11,16,32,55,−23,25
17,Celta,34,9,6,19,27,56,−29,24
18,Racing Santander,34,9,5,20,44,63,−19,23
